"ID"	"date"	"flow_velocity_ms"
"S21"	2019-04-30	0.2
"S21"	2019-06-12	0.2
"S21"	2019-07-02	0.05
"S22"	2018-04-11	0.15
"S22"	2018-05-04	0.15
"S22"	2018-05-22	0.15
"S22"	2018-06-13	0.25
"S22"	2018-07-05	0.15
"S22"	2018-10-16	0.08
"S22"	2019-04-11	0.15
"S22"	2019-04-30	0.2
"S22"	2019-05-21	0.35
"S22"	2019-06-12	0.3
"S22"	2019-07-02	0.05
"S23"	2019-04-11	0.3
"S23"	2019-04-30	0.45
"S23"	2019-06-12	0.4
"S23"	2019-07-02	0.25
"S24"	2018-04-10	0.6
"S24"	2018-05-03	0.35
"S24"	2018-05-23	0.45
"S24"	2018-06-14	0.55
"S24"	2018-07-05	0.35
"S24"	2018-10-16	0.15
"S25"	2018-04-11	0.2
"S25"	2018-05-04	0.3
"S25"	2018-05-23	0.5
"S25"	2018-06-14	0.3
"S25"	2018-07-05	0.3
"S25"	2018-10-17	0.05
"S26"	2019-04-17	0.18
"S26"	2019-04-30	0.1
"S26"	2019-05-21	0.8
"S26"	2019-06-12	0.013
"S27"	2018-04-09	0.45
"S27"	2018-05-23	0.25
"S27"	2018-06-13	0.47
"S27"	2018-07-04	0.2
"S27"	2018-08-03	0.135
"S28"	2019-04-17	0.157
"S28"	2019-04-30	0.2
"S28"	2019-05-21	0.08
"S28"	2019-06-12	0.1
"S29"	2019-04-16	0.15
"S29"	2019-04-30	0.05
"S29"	2019-05-21	0
"S29"	2019-06-13	0
"S30"	2019-04-16	0.1
"S30"	2019-05-02	0.06
"S30"	2019-05-23	0.07
"S30"	2019-06-14	0.08
"S31"	2019-04-15	0.32
"S31"	2019-05-02	0.24
"S31"	2019-05-23	0.27
"S31"	2019-06-14	0.22
"S32"	2018-05-01	0.4
"S32"	2018-07-02	0
"S32"	2018-10-15	0.05
"S33"	2018-05-01	0.3
"S33"	2018-07-02	0.2
"S33"	2018-10-15	0.2
"S34"	2018-04-10	0.35
"S34"	2018-05-02	0.6
"S34"	2018-05-23	0.1
"S34"	2018-07-04	0.2
"S34"	2018-10-17	0.1
"S35"	2018-04-10	0.35
"S35"	2018-05-01	0.8
"S35"	2018-05-23	0.1
"S35"	2018-06-06	0.1
